2019.06.15 21:25:57.318 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:25:57.318 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:25:57.321 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:25:57.321 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:25:57.322 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:25:57.322 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:25:58.322 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:25:58.322 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:25:59.324 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:25:59.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:00.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:00.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:01.325 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:01.327 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:02.327 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:02.329 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:10.633 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:26:10.633 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:26:10.637 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:26:10.637 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:26:10.637 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:26:10.637 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:26:11.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:11.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:12.638 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:12.638 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:13.556 INFO  Server.Server - Client excepted: Socket[addr=/192.168.43.67,port=50790,localport=5400]
2019.06.15 21:26:13.639 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:14.556 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:14.640 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:15.565 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:15.641 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:16.566 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:16.642 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:17.566 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:17.642 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:18.567 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:26:18.643 DEBUG Server.Server - Socket Timeout - No clients pending!
